Kode,Industri,Market Cap
GOLF,Consumer Cyclicals,4287087509504.0
DOSS,Consumer Cyclicals,294974980096.0
VERN,Consumer Cyclicals,524221317120.0
MDIY,Consumer Cyclicals,23930872004608.0
MERI,Consumer Cyclicals,170448289792.0
PMUI,Consumer Cyclicals,777200009216.0
KAQI,Consumer Cyclicals,174367211520.0
ESTA,Consumer Cyclicals,528727212032.0
RAAM,Consumer Cyclicals,1567132614656.0
DOOH,Consumer Cyclicals,1532300492800.0
ACRO,Consumer Cyclicals,298363715584.0
AALI,Consumer Non-Cyclicals,14435162783744.0
ADES,Consumer Non-Cyclicals,9069663354880.0
AISA,Consumer Non-Cyclicals,525189382144.0
ALTO,Consumer Non-Cyclicals,39453667328.0
AMRT,Consumer Non-Cyclicals,78273690206208.0
ANJT,Consumer Non-Cyclicals,5668555718656.0
BISI,Consumer Non-Cyclicals,2654999937024.0
BTEK,Consumer Non-Cyclicals,971827445760.0
BUDI,Consumer Non-Cyclicals,970561486848.0
BWPT,Consumer Non-Cyclicals,4108152733696.0
CEKA,Consumer Non-Cyclicals,1404200026112.0
CPIN,Consumer Non-Cyclicals,72315178057728.0
CPRO,Consumer Non-Cyclicals,3931777269760.0
DLTA,Consumer Non-Cyclicals,1585304961024.0
DSFI,Consumer Non-Cyclicals,200570634240.0
DSNG,Consumer Non-Cyclicals,14839779950592.0
EPMT,Consumer Non-Cyclicals,6229872082944.0
FISH,Consumer Non-Cyclicals,4632000069632.0
GGRM,Consumer Non-Cyclicals,31025920999424.0
GOLL,Consumer Non-Cyclicals,183249993728.0
GZCO,Consumer Non-Cyclicals,1284000055296.0
HERO,Consumer Non-Cyclicals,1824064405504.0
HMSP,Consumer Non-Cyclicals,97125593513984.0
ICBP,Consumer Non-Cyclicals,95627648172032.0
INDF,Consumer Non-Cyclicals,59487385812992.0
JAWA,Consumer Non-Cyclicals,2856999452672.0
JPFA,Consumer Non-Cyclicals,29650556289024.0
LAPD,Consumer Non-Cyclicals,587019780096.0
LSIP,Consumer Non-Cyclicals,7979357700096.0
MAGP,Consumer Non-Cyclicals,449999962112.0
MAIN,Consumer Non-Cyclicals,1693278011392.0
MBTO,Consumer Non-Cyclicals,167990001664.0
MIDI,Consumer Non-Cyclicals,11100518088704.0
MLBI,Consumer Non-Cyclicals,11904550436864.0
MLPL,Consumer Non-Cyclicals,1873603330048.0
MPPA,Consumer Non-Cyclicals,687231926272.0
MRAT,Consumer Non-Cyclicals,190888001536.0
MYOR,Consumer Non-Cyclicals,51490035073024.0
PSDN,Consumer Non-Cyclicals,175679995904.0
RANC,Consumer Non-Cyclicals,1149898326016.0
ROTI,Consumer Non-Cyclicals,4334188232704.0
