Ticker,Industry,trailingPE,forwardPE,pegRatio,priceToBook,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,debtToEquity,currentRatio,quickRatio,freeCashflow,operatingCashflow,revenueGrowth,earningsGrowth,averageVolume,volume,marketCap,regularMarketPrice,avg_value_traded,fundamental_score
TAPG,Consumer Non-Cyclicals,9.920422,8.586987,,3.2677019,0.33490002,0.15799,0.3247,0.36477003,9.407,2.129,1.255,2349021003776,3431452901376,-0.068,-0.32,26658114,11656900,36627934085120,1845.0,49184220330.0,512.0019665043651
CMRY,Consumer Non-Cyclicals,17.452074,20.044844,,5.227752,0.30036,0.16797,0.18956,0.16503,0.006,2.227,1.486,925742989312,1906416025600,0.193,0.188,4192846,4314900,35468032868352,4470.0,18742021620.0,436.89515758997186
STAA,Consumer Non-Cyclicals,8.46766,,,2.098818,0.28307,0.16525,0.16612,0.19577,25.589,3.176,1.846,539547369472,1639095992320,0.539,-0.048,5484683,3804100,13572278059008,1245.0,6828430335.0,508.57317033548713
JARR,Consumer Non-Cyclicals,60.97902,,,10.742409,0.18983999,0.08687,0.07626,0.10154,96.457,4.79,2.161,146782371840,309527314432,0.146,-0.058,4086475,3013600,20122848722944,2180.0,8908515500.0,295.3262545590239
NSSS,Consumer Non-Cyclicals,23.36295,23.666666,,8.816371,0.46451,0.16356,0.35693002,0.56048,93.574,1.566,1.053,490305683456,827669020672,0.414,1.117,20889794,30491500,16899114008576,710.0,14831753740.0,586.7918358044351
AYAM,Consumer Non-Cyclicals,57.14286,40.0,,6.5135345,0.00035999998,-0.0051700003,0.00028,0.35193002,20.294,0.98,0.017,-792522688,4672405504,-0.553,22.969,36205028,63090000,1360000057344,340.0,12309709520.0,289.56995866159235
FORE,Consumer Non-Cyclicals,78.153564,,,11.704633,0.19306,0.07329,0.0602,0.088599995,32.044,1.346,0.945,84341899264,316880977920,0.463,0.512,14818344,66900000,7625196961792,855.0,12669684120.0,367.31304415484175
MSJA,Consumer Non-Cyclicals,31.437124,,,35000.0,0.0687,0.030580001,0.0884,0.061160002,14.161,2.917,2.252,3838992,7387394,-0.079,0.587,17934846,13599800,3009417838592,525.0,9415794150.0,296.0449479180129
ADRO,Energy,9.389672,4.7253857,,15641.025,0.09443,0.048460003,0.23896,0.30692,16.412,2.564,2.354,-74168248,594124992,,,139113651,52669600,70273206321152,2440.0,339437308440.0,324.15011226073034
AKRA,Energy,11.098691,9.8504715,,2.2640538,0.18677,0.05501,0.05373,0.07508,36.597,1.473,1.036,2140698312704,3940974329856,0.347,0.089,29709887,15642900,27521678573568,1390.0,41296742930.0,509.06447834425245
BULL,Energy,28.086218,4.2277975,,33076.92,0.08422,0.06532,0.096190006,0.16919,57.796,1.021,0.681,8202725,65365072,0.51,,546275485,434102300,6662607863808,430.0,234898458550.0,318.0212421608918
DEWA,Energy,4.5978036,343333.34,,2.4410706,0.72371,0.21823,0.67369,2.27882,50.237,1.153,0.998,1078783639552,1456111616000,0.155,130.06,996758385,878531300,20954029752320,515.0,513330568275.0,820.4095448339028
